"Spotify.Streams","Spotify.Playlist.Count","YouTube.Views","YouTube.Likes","TikTok.Posts","TikTok.Views","Apple.Music.Playlist.Count","Shazam.Counts","AirPlay.Spins","Explicit.Track"
267241905,62950,515808378,2686256,5066,12209681,51,2065953,17239,1
233661226,44552,179525477,4809845,2856125,4078323042,13,935053,4532,0
935042457,92728,2463300079,11133796,1121206,139512356,92,8719140,81252,0
28876525,6626,22591925,181723,22448,28824932,8,102901,52,1
1692951462,209490,1132539234,8795731,1212100,2054826154,99,6836893,138254,0
8470479,2776,8291412,112395,1400151,503891783,2,170102,277,1
1064927546,83580,120105486,1141821,545,2480889,90,2195677,88924,1
232985667,43893,244041337,1787933,24758,165904891,19,260024,1790,0
784334383,104998,1776560692,7559025,46749,112921980,86,12172997,119409,0
827950825,118965,299001099,2751490,172228,1359837461,83,3384275,761996,1
899431434,111427,345265852,3361539,277847,813589191,58,3585978,1116,1
7383901,4008,351810237,1815957,22200,87012540,1,299561,157,0
106218899,18622,54371720,527297,9975,44940300,39,1646446,171539,0
185362995,19981,315331221,3732558,1115600,1309968091,43,421946,11813,0
76004507,24334,9862592,231074,480208,1467434192,9,132370,15042,1
242528711,57228,31286296,367511,15539,115624415,18,1224483,54682,1
644437397,64367,141964689,814824,128357,327463451,49,899954,340292,0
506083686,88997,191257884,1917299,22248,53859932,105,14034296,20173,0
41494349,6516,267216988,1757325,73081,102354732,11,76255,1619,0
211095929,15632,325655059,2524096,5710312,94600665,16,299317,215,0
308396120,99705,63664549,669096,258830,1204022719,16,298898,981,1
166784328,15122,196927226,943630,482200,1222155154,10,173558,98,1
302419750,54906,369321004,2498223,61167,64070340,25,2070955,10909,0
723722454,79670,869498397,4948905,916770,1607695575,80,1358270,28464,0
1106264600,144992,1040406066,4527957,19634,44057930,205,17246943,42861,0
344369903,66276,208397689,1732879,45015,130467912,21,811835,1354,0
805133547,132298,357556016,9930750,1600298,2252801256,229,3468671,346007,0
337650898,44292,226249916,862952,241103,505139679,59,1434689,66673,0
828608384,93376,459178965,3337302,46200,54201520,179,3931607,75061,0
447192467,93245,304553514,4676461,1600000,1990567953,141,2921983,29258,0
987770768,58856,593364271,4837607,33676,130537420,81,3928542,139497,0
613000788,152363,68681033,645892,523,1560809,124,3038650,134879,0
1365755853,183681,1285233400,8881918,632606,694003171,40,8434236,74610,0
978617707,97191,722372895,11582120,254060,359903081,109,1769544,329936,1
387273112,61978,103938760,1316097,21110,179105827,59,1926829,201646,1
1350428257,172980,343526777,3193437,1578717,3172500312,73,5519429,12318,0
837576264,102545,472335529,1511715,632917,631781362,60,2660197,65694,1
159579530,29495,113216772,1817753,21800,68969483,20,161952,2829,1
1307469137,255327,1200224642,8294174,416052,1599320816,289,15485233,261191,0
273457499,90842,13496528,220640,12342,67251486,15,379631,27,1
328697441,56746,174775864,1192058,796309,2074178281,53,2520013,289947,0
236121136,50891,66409032,793546,40154,44773047,34,2596463,85329,1
1531490541,115663,391667255,3102373,3435149,892595513,93,5500764,64453,0
2708151499,298135,872052223,11269126,1375118,2738127473,554,9612968,647363,0
190420514,39949,109102453,801125,46300,272952215,20,315999,692,1
2218531106,263801,1800863873,26301389,1295895,435340082,77,3798652,21340,1
143528699,26295,395691039,3870422,115695,184322890,2,795577,1328,0
1638836101,272933,1170441361,13667470,5241838,3869815694,216,7646337,298661,1
65374827,33151,30059409,305484,8010,11013533,28,203363,206,1
968235402,159175,180977641,1207787,131,5826772,114,9293567,59912,0
961358721,155959,1188737111,7547115,212737,307352160,201,11191965,493,1
104411097,51535,128163786,1321268,25400,64467510,19,382012,6187,1
949312501,152498,858285365,5419110,8535,70600246,30,2633407,482,1
432885913,51912,321888868,1818193,575000,1232405599,14,901897,2673,1
375589989,43389,1084403143,5320558,278732,223724566,55,1950076,24484,0
29089538,1933,39607373,513074,2906,28210200,6,43383,156,0
272051636,64633,39751949,818015,298019,1314232560,3,1447289,38,1
649191183,160382,645296970,8887252,795603,1557145950,11,7233385,1173,1
133353888,40696,152140804,845642,727366,614798320,43,3191942,16437,1
445742307,68570,65247352,1302190,118871,299317588,9,2074587,2878,0
66701855,12381,132663199,408097,59853,52142540,7,241463,2069,0
1059940209,169454,569314714,6558074,5441674,22241102823,15,8764483,191784,0
463977298,100305,219573887,2918828,946,26701713,81,1849092,188300,0
29994527,1665,39678645,1520092,38704,5347400,12,69265,1664,0
428787524,95178,63666862,1060419,39225,116127311,69,636078,39027,0
518477840,40921,970377956,2794007,103630,135032701,39,1164732,9614,0
443564590,80121,122345818,1753026,247082,1231848412,210,2682867,436049,0
461420009,32656,97498335,724848,46959,123888567,85,2469386,382468,0
663939688,87146,462058635,4042516,173337,215796397,47,5432642,18975,0
235609054,72440,16271248,258435,20257,25701260,46,306159,4492,1
599547543,90475,154979267,2179826,139585,557527051,112,1075422,157,1
218431985,56998,336505073,3901948,3595260,4731467896,24,6024636,20192,0
112737954,20339,37013758,255685,1691,119315,26,1934390,154407,0
680707791,87833,48297331,611115,43653,184535006,43,4213597,49001,1
104493081,40264,4214887,50258,6920,33784807,14,722782,15281,1
1483572312,155595,308293523,2383831,46122,148422686,159,4076646,54013,1
8028757,1972,48533758,399664,8800000,3985974550,1,220198,373,0
2089476497,179545,4467507940,22464625,2463600,376376728,401,9657077,237066,0
87001628,30898,20680259,263409,269738,566961428,25,845534,4472,1
135665686,61959,158341543,1541456,22945,98085095,67,1039383,35358,1
289304213,25925,336281559,3407011,404600,1992738757,33,689921,4473,0
254191262,68188,66231224,1090031,19580,33984850,23,555350,3925,1
